"lon","lat","Class"
-95.88,41.134,"A"
-95.92,41.238,"A"
-98.22576,41.55099,"A"
-100.5501,42.87331,"A"
-103.398,42.5893,"A"
-74.4611,40.478,"A"
-74.6215,40.7446,"A"
-74.2918,40.8959,"A"
-74.321,41.08335,"A"
-74.68135,40.16465,"A"
-74.3249,40.9934,"A"
-74.43445,39.60835,"A"
-74.59959,41.14652,"A"
-74.85561,40.8192,"A"
-105.7395,33.27735,"A"
-108.87,36.126,"A"
-106.8803,35.98475,"A"
-105.7947,33.15405,"A"
-108.8676,35.63736,"A"
-104.4801,36.9934,"A"
-107.3956,36.72065,"A"
-107.6021,36.7474,"A"
-109.0612,36.39135,"A"
-108.7608,36.81315,"A"
-107.9978,35.58565,"A"
-108.892,36.08089,"A"
-105.9678,36.65339,"A"
-108.2034,35.37201,"A"
-119.6564,39.29056,"A"
-119.6665,39.679,"A"
-119.8458,39.00056,"A"
-118.325,37.8583,"A"
-77.4028,42.6153,"A"
-75.0116,42.36176,"A"
-75.64853,42.1174,"A"
-74.14589,44.26646,"A"
-78.23962,43.34806,"A"
-77.93121,42.09785,"A"
-73.7171,41.5036,"A"
-75.3811,42.32921,"A"
-78.54224,43.19501,"A"
-78.82683,42.15947,"A"
-77.60525,42.28045,"A"
-74.8865,42.56379,"A"
-78.3253,43.22649,"A"
-73.87915,41.94512,"A"
-76.89331,43.27314,"A"
-81.11642,40.98596,"A"
-81.27132,39.88653,"A"
-82.36887,39.58157,"A"
-84.18491,40.24354,"A"
-83.02854,40.15002,"A"
-80.88494,41.72134,"A"
-80.77387,40.36957,"A"
-82.69884,40.38609,"A"
-83.95184,39.92104,"A"
-83.94906,39.85461,"A"
-83.96562,39.86096,"A"
-83.96123,39.89216,"A"
-81.25768,40.77789,"A"
-82.29162,39.78594,"A"
-80.58332,40.70386,"A"
-81.35575,40.74065,"A"
-84.38103,41.2625,"A"
-81.51749,40.27488,"A"
-81.73172,39.40877,"A"
-81.33974,41.39803,"A"
-82.80257,40.4764,"A"
-81.3726,41.47349,"A"
-83.39134,38.73687,"A"
-84.06565,40.73412,"A"
-82.32803,40.82327,"A"
-82.23988,40.59935,"A"
-81.30896,41.30265,"A"
